NTAX,STRHT,SRATE,NCHR,REPL,MTHD,DOLLO,SECS
10,2000000,1e-06,1000,25,paup-dollo-fast-hsearch-first,1248,0.841
10,2000000,1e-06,1000,25,dollo-cdp-fast,1248,1.218
10,2000000,1e-06,1000,25,paup-dollo-hsearch-first,1248,0.332
10,2000000,1e-06,1000,25,paup-dollo-hsearch,1248,0.332
10,2000000,1e-06,5000,1,paup-dollo-fast-hsearch-first,6004,0.854
10,2000000,1e-06,5000,1,dollo-cdp-fast,6004,1.3639999999999999
10,2000000,1e-06,5000,1,paup-dollo-hsearch-first,6004,0.216
10,2000000,1e-06,5000,1,paup-dollo-hsearch,6004,0.216
10,2000000,1e-06,5000,2,paup-dollo-fast-hsearch-first,5871,0.263
10,2000000,1e-06,5000,2,dollo-cdp-fast,5871,0.8170000000000001
10,2000000,1e-06,5000,2,paup-dollo-hsearch-first,5871,0.336
10,2000000,1e-06,5000,2,paup-dollo-hsearch,5871,0.336
10,2000000,1e-06,5000,3,paup-dollo-fast-hsearch-first,6221,0.754
10,2000000,1e-06,5000,3,dollo-cdp-fast,6221,1.225
10,2000000,1e-06,5000,3,paup-dollo-hsearch-first,6221,0.361
10,2000000,1e-06,5000,3,paup-dollo-hsearch,6221,0.361
10,2000000,1e-06,5000,4,paup-dollo-fast-hsearch-first,5696,0.806
10,2000000,1e-06,5000,4,dollo-cdp-fast,5696,1.335
10,2000000,1e-06,5000,4,paup-dollo-hsearch-first,5696,0.245
10,2000000,1e-06,5000,4,paup-dollo-hsearch,5696,0.245
10,2000000,1e-06,5000,5,paup-dollo-fast-hsearch-first,5928,0.232
10,2000000,1e-06,5000,5,dollo-cdp-fast,5928,0.7989999999999999
10,2000000,1e-06,5000,5,paup-dollo-hsearch-first,5928,0.211
10,2000000,1e-06,5000,5,paup-dollo-hsearch,5928,0.211
10,2000000,1e-06,5000,6,paup-dollo-fast-hsearch-first,6128,0.794
10,2000000,1e-06,5000,6,dollo-cdp-fast,6128,1.339
10,2000000,1e-06,5000,6,paup-dollo-hsearch-first,6128,0.207
10,2000000,1e-06,5000,6,paup-dollo-hsearch,6128,0.207
10,2000000,1e-06,5000,7,paup-dollo-fast-hsearch-first,5744,0.791
10,2000000,1e-06,5000,7,dollo-cdp-fast,5744,1.348
10,2000000,1e-06,5000,7,paup-dollo-hsearch-first,5744,0.747
10,2000000,1e-06,5000,7,paup-dollo-hsearch,5744,0.747
10,2000000,1e-06,5000,8,paup-dollo-fast-hsearch-first,7389,5.083
10,2000000,1e-06,5000,8,dollo-cdp-fast,7389,5.609
10,2000000,1e-06,5000,8,paup-dollo-hsearch-first,7389,0.228
10,2000000,1e-06,5000,8,paup-dollo-hsearch,7389,0.228
10,2000000,1e-06,5000,9,paup-dollo-fast-hsearch-first,5896,0.842
10,2000000,1e-06,5000,9,dollo-cdp-fast,5896,1.366
10,2000000,1e-06,5000,9,paup-dollo-hsearch-first,5896,0.212
10,2000000,1e-06,5000,9,paup-dollo-hsearch,5896,0.212
10,2000000,1e-06,5000,10,paup-dollo-fast-hsearch-first,6715,0.825
10,2000000,1e-06,5000,10,dollo-cdp-fast,6715,1.373
10,2000000,1e-06,5000,10,paup-dollo-hsearch-first,6715,0.292
10,2000000,1e-06,5000,10,paup-dollo-hsearch,6715,0.292
10,2000000,1e-06,5000,11,paup-dollo-fast-hsearch-first,6877,0.783
10,2000000,1e-06,5000,11,dollo-cdp-fast,6877,1.3479999999999999
10,2000000,1e-06,5000,11,paup-dollo-hsearch-first,6877,0.27
10,2000000,1e-06,5000,11,paup-dollo-hsearch,6877,0.27
10,2000000,1e-06,5000,12,paup-dollo-fast-hsearch-first,6290,0.811
10,2000000,1e-06,5000,12,dollo-cdp-fast,6290,1.278
10,2000000,1e-06,5000,12,paup-dollo-hsearch-first,6290,0.762
10,2000000,1e-06,5000,12,paup-dollo-hsearch,6290,0.762
10,2000000,1e-06,5000,13,paup-dollo-fast-hsearch-first,7182,1.016
10,2000000,1e-06,5000,13,dollo-cdp-fast,7182,1.596
10,2000000,1e-06,5000,13,paup-dollo-hsearch-first,7182,0.806
10,2000000,1e-06,5000,13,paup-dollo-hsearch,7182,0.806
10,2000000,1e-06,5000,14,paup-dollo-fast-hsearch-first,7096,0.853
10,2000000,1e-06,5000,14,dollo-cdp-fast,7096,1.45
10,2000000,1e-06,5000,14,paup-dollo-hsearch-first,7096,0.783
10,2000000,1e-06,5000,14,paup-dollo-hsearch,7096,0.783
10,2000000,1e-06,5000,15,paup-dollo-fast-hsearch-first,5712,0.233
10,2000000,1e-06,5000,15,dollo-cdp-fast,5712,0.8079999999999999
10,2000000,1e-06,5000,15,paup-dollo-hsearch-first,5712,0.766
