NTAX,STRHT,SRATE,NCHR,REPL,MTHD,NODE,real,user,sys
model,100,2000000,0.000001,50000,05,paup-dollo-fast-hsearch,cbcb03,0m23.358s,0m22.491s,0m0.009s
model,100,2000000,0.000001,50000,05,paup-dollo-hsearch,cbcb16,15m23.520s,15m18.234s,0m0.009s
model,100,2000000,0.000001,50000,06,dollo-cdp-fast,cbcb03,0m4.520s,0m3.194s,0m0.020s
model,100,2000000,0.000001,50000,06,paup-dollo-fast-hsearch,cbcb03,0m30.105s,0m29.173s,0m0.010s
model,100,2000000,0.000001,50000,06,paup-dollo-hsearch,cbcb21,15m26.739s,15m21.585s,0m0.014s
model,100,2000000,0.000001,50000,07,dollo-cdp-fast,cbcb03,0m4.933s,0m3.572s,0m0.025s
model,100,2000000,0.000001,50000,07,paup-dollo-fast-hsearch,cbcb03,0m28.665s,0m27.754s,0m0.011s
model,100,2000000,0.000001,50000,07,paup-dollo-hsearch,cbcb16,18m37.628s,18m31.787s,0m0.007s
model,100,2000000,0.000001,50000,08,dollo-cdp-fast,cbcb03,0m5.508s,0m4.138s,0m0.042s
model,100,2000000,0.000001,50000,08,paup-dollo-fast-hsearch,cbcb03,0m25.157s,0m24.273s,0m0.010s
model,100,2000000,0.000001,50000,08,paup-dollo-hsearch,cbcb16,17m3.828s,16m59.296s,0m0.014s
model,100,2000000,0.000001,50000,09,dollo-cdp-fast,cbcb17,0m4.443s,0m3.110s,0m0.019s
model,100,2000000,0.000001,50000,09,paup-dollo-fast-hsearch,cbcb17,0m28.451s,0m27.529s,0m0.013s
model,100,2000000,0.000001,50000,09,paup-dollo-hsearch,cbcb00,12m44.728s,12m41.422s,0m0.006s
model,100,2000000,0.000001,50000,10,dollo-cdp-fast,cbcb17,0m5.515s,0m4.250s,0m0.024s
model,100,2000000,0.000001,50000,10,paup-dollo-fast-hsearch,cbcb17,0m26.348s,0m25.440s,0m0.014s
model,100,2000000,0.000001,50000,10,paup-dollo-hsearch,cbcb00,13m35.863s,13m32.424s,0m0.011s
model,100,2000000,0.000001,50000,11,dollo-cdp-fast,cbcb17,0m5.133s,0m3.815s,0m0.020s
model,100,2000000,0.000001,50000,11,paup-dollo-fast-hsearch,cbcb17,0m25.013s,0m24.123s,0m0.013s
model,100,2000000,0.000001,50000,11,paup-dollo-hsearch,cbcb15,15m27.461s,15m23.838s,0m0.011s
model,100,2000000,0.000001,50000,12,dollo-cdp-fast,cbcb17,0m6.517s,0m5.070s,0m0.035s
model,100,2000000,0.000001,50000,12,paup-dollo-fast-hsearch,cbcb17,0m20.072s,0m19.224s,0m0.019s
model,100,2000000,0.000001,50000,12,paup-dollo-hsearch,cbcb21,13m8.131s,13m3.427s,0m0.010s
model,100,2000000,0.000001,50000,13,dollo-cdp-fast,cbcb17,0m5.165s,0m3.954s,0m0.028s
model,100,2000000,0.000001,50000,13,paup-dollo-fast-hsearch,cbcb17,0m45.487s,0m44.563s,0m0.011s
model,100,2000000,0.000001,50000,13,paup-dollo-hsearch,cbcb19,24m8.631s,24m3.773s,0m0.012s
model,100,2000000,0.000001,50000,14,dollo-cdp-fast,cbcb17,0m5.239s,0m3.914s,0m0.028s
model,100,2000000,0.000001,50000,14,paup-dollo-fast-hsearch,cbcb17,0m25.702s,0m24.818s,0m0.010s
model,100,2000000,0.000001,50000,14,paup-dollo-hsearch,cbcb17,17m35.744s,17m31.628s,0m0.013s
model,100,2000000,0.000001,50000,15,dollo-cdp-fast,cbcb17,0m4.870s,0m3.563s,0m0.019s
model,100,2000000,0.000001,50000,15,paup-dollo-fast-hsearch,cbcb17,0m26.913s,0m26.046s,0m0.014s
model,100,2000000,0.000001,50000,15,paup-dollo-hsearch,cbcb17,17m14.064s,17m8.669s,0m0.012s
model,100,2000000,0.000001,50000,16,dollo-cdp-fast,cbcb17,0m6.547s,0m5.237s,0m0.035s
model,100,2000000,0.000001,50000,16,paup-dollo-fast-hsearch,cbcb17,0m20.076s,0m19.235s,0m0.009s
model,100,2000000,0.000001,50000,16,paup-dollo-hsearch,cbcb15,10m28.247s,10m25.142s,0m0.017s
model,100,2000000,0.000001,50000,17,dollo-cdp-fast,cbcb17,0m5.960s,0m4.700s,0m0.031s
model,100,2000000,0.000001,50000,17,paup-dollo-fast-hsearch,cbcb17,0m22.751s,0m21.898s,0m0.017s
model,100,2000000,0.000001,50000,17,paup-dollo-hsearch,cbcb15,12m39.543s,12m35.214s,0m0.016s
model,100,2000000,0.000001,50000,18,dollo-cdp-fast,cbcb17,0m4.714s,0m3.463s,0m0.026s
model,100,2000000,0.000001,50000,18,paup-dollo-fast-hsearch,cbcb17,0m36.881s,0m35.942s,0m0.013s
model,100,2000000,0.000001,50000,18,paup-dollo-hsearch,cbcb16,17m14.099s,17m9.263s,0m0.015s
model,100,2000000,0.000001,50000,19,dollo-cdp-fast,cbcb17,0m4.875s,0m3.484s,0m0.028s
model,100,2000000,0.000001,50000,19,paup-dollo-fast-hsearch,cbcb17,0m30.263s,0m29.342s,0m0.018s
model,100,2000000,0.000001,50000,19,paup-dollo-hsearch,cbcb16,16m22.333s,16m16.936s,0m0.009s
model,100,2000000,0.000001,5000,01,dollo-cdp-fast,cbcb02,0m1.763s,0m0.406s,0m0.009s
model,100,2000000,0.000001,5000,01,paup-dollo-fast-hsearch,cbcb02,0m5.403s,0m4.630s,0m0.008s
model,100,2000000,0.000001,5000,01,paup-dollo-hsearch,cbcb21,3m52.831s,3m51.152s,0m0.002s
model,100,2000000,0.000001,50000,20,dollo-cdp-fast,cbcb17,0m5.051s,0m3.647s,0m0.031s
model,100,2000000,0.000001,50000,20,paup-dollo-fast-hsearch,cbcb17,0m28.491s,0m27.577s,0m0.019s
model,100,2000000,0.000001,50000,20,paup-dollo-hsearch,cbcb20,13m36.013s,13m31.866s,0m0.013s
model,100,2000000,0.000001,50000,21,dollo-cdp-fast,cbcb17,0m4.908s,0m3.692s,0m0.025s
model,100,2000000,0.000001,50000,21,paup-dollo-fast-hsearch,cbcb17,0m32.072s,0m31.190s,0m0.014s
model,100,2000000,0.000001,50000,21,paup-dollo-hsearch,cbcb19,18m46.299s,18m42.482s,0m0.016s
model,100,2000000,0.000001,50000,22,dollo-cdp-fast,cbcb17,0m5.243s,0m3.930s,0m0.025s
model,100,2000000,0.000001,50000,22,paup-dollo-fast-hsearch,cbcb17,0m37.036s,0m36.122s,0m0.012s
model,100,2000000,0.000001,50000,22,paup-dollo-hsearch,cbcb16,16m48.497s,16m43.183s,0m0.013s
model,100,2000000,0.000001,50000,23,dollo-cdp-fast,cbcb17,0m6.117s,0m4.593s,0m0.037s
model,100,2000000,0.000001,50000,23,paup-dollo-fast-hsearch,cbcb17,0m28.909s,0m28.053s,0m0.009s
