MODL,NCHR,REPL,MTHD,DOLLO
Palaeognathae,1000,Rep4,paup-dollo-bnb-first,1241
Palaeognathae,1000,Rep4,paup-dollo-fast-hsearch-first,1241
Palaeognathae,1000,Rep4,paup-dollo-hsearch-first,1241
Palaeognathae,1000,Rep5,dollo-cdp-fast,1258
Palaeognathae,1000,Rep5,paup-dollo-bnb-first,1258
Palaeognathae,1000,Rep5,paup-dollo-fast-hsearch-first,1258
Palaeognathae,1000,Rep5,paup-dollo-hsearch-first,1258
Palaeognathae,1000,Rep6,dollo-cdp-fast,1224
Palaeognathae,1000,Rep6,paup-dollo-bnb-first,1224
Palaeognathae,1000,Rep6,paup-dollo-fast-hsearch-first,1224
Palaeognathae,1000,Rep6,paup-dollo-hsearch-first,1224
Palaeognathae,1000,Rep7,dollo-cdp-fast,1235
Palaeognathae,1000,Rep7,paup-dollo-bnb-first,1235
Palaeognathae,1000,Rep7,paup-dollo-fast-hsearch-first,1235
Palaeognathae,1000,Rep7,paup-dollo-hsearch-first,1235
Palaeognathae,1000,Rep8,dollo-cdp-fast,1287
Palaeognathae,1000,Rep8,paup-dollo-bnb-first,1287
Palaeognathae,1000,Rep8,paup-dollo-fast-hsearch-first,1287
Palaeognathae,1000,Rep8,paup-dollo-hsearch-first,1287
Palaeognathae,1000,Rep9,dollo-cdp-fast,1239
Palaeognathae,1000,Rep9,paup-dollo-bnb-first,1239
Palaeognathae,1000,Rep9,paup-dollo-fast-hsearch-first,1239
Palaeognathae,1000,Rep9,paup-dollo-hsearch-first,1239
Palaeognathae,50000,Rep10,dollo-cdp-fast,62315
Palaeognathae,50000,Rep10,paup-dollo-bnb-first,62315
Palaeognathae,50000,Rep10,paup-dollo-fast-hsearch-first,62315
Palaeognathae,50000,Rep10,paup-dollo-hsearch-first,62315
Palaeognathae,50000,Rep11,dollo-cdp-fast,62485
Palaeognathae,50000,Rep11,paup-dollo-bnb-first,62485
Palaeognathae,50000,Rep11,paup-dollo-fast-hsearch-first,62485
Palaeognathae,50000,Rep11,paup-dollo-hsearch-first,62485
Palaeognathae,50000,Rep12,dollo-cdp-fast,62366
Palaeognathae,50000,Rep12,paup-dollo-bnb-first,62366
Palaeognathae,50000,Rep12,paup-dollo-fast-hsearch-first,62366
Palaeognathae,50000,Rep12,paup-dollo-hsearch-first,62366
Palaeognathae,50000,Rep13,dollo-cdp-fast,62457
Palaeognathae,50000,Rep13,paup-dollo-bnb-first,62457
Palaeognathae,50000,Rep13,paup-dollo-fast-hsearch-first,62457
Palaeognathae,50000,Rep13,paup-dollo-hsearch-first,62457
Palaeognathae,50000,Rep14,dollo-cdp-fast,62173
Palaeognathae,50000,Rep14,paup-dollo-bnb-first,62173
Palaeognathae,50000,Rep14,paup-dollo-fast-hsearch-first,62173
Palaeognathae,50000,Rep14,paup-dollo-hsearch-first,62173
Palaeognathae,50000,Rep15,dollo-cdp-fast,62527
Palaeognathae,50000,Rep15,paup-dollo-bnb-first,62527
Palaeognathae,50000,Rep15,paup-dollo-fast-hsearch-first,62527
Palaeognathae,50000,Rep15,paup-dollo-hsearch-first,62527
Palaeognathae,50000,Rep16,dollo-cdp-fast,62359
Palaeognathae,50000,Rep16,paup-dollo-bnb-first,62359
Palaeognathae,50000,Rep16,paup-dollo-fast-hsearch-first,62359
Palaeognathae,50000,Rep16,paup-dollo-hsearch-first,62359
Palaeognathae,50000,Rep17,dollo-cdp-fast,62380
Palaeognathae,50000,Rep17,paup-dollo-bnb-first,62380
Palaeognathae,50000,Rep17,paup-dollo-fast-hsearch-first,62380
Palaeognathae,50000,Rep17,paup-dollo-hsearch-first,62380
Palaeognathae,50000,Rep18,dollo-cdp-fast,62369
Palaeognathae,50000,Rep18,paup-dollo-bnb-first,62369
Palaeognathae,50000,Rep18,paup-dollo-fast-hsearch-first,62369
Palaeognathae,50000,Rep18,paup-dollo-hsearch-first,62369
Palaeognathae,50000,Rep19,dollo-cdp-fast,62419
Palaeognathae,50000,Rep19,paup-dollo-bnb-first,62419
Palaeognathae,50000,Rep19,paup-dollo-fast-hsearch-first,62419
Palaeognathae,50000,Rep19,paup-dollo-hsearch-first,62419
Palaeognathae,50000,Rep1,dollo-cdp-fast,62584
Palaeognathae,50000,Rep1,paup-dollo-bnb-first,62584
Palaeognathae,50000,Rep1,paup-dollo-fast-hsearch-first,62584
Palaeognathae,50000,Rep1,paup-dollo-hsearch-first,62584
Palaeognathae,50000,Rep20,dollo-cdp-fast,62625
Palaeognathae,50000,Rep20,paup-dollo-bnb-first,62625
Palaeognathae,50000,Rep20,paup-dollo-fast-hsearch-first,62625
Palaeognathae,50000,Rep20,paup-dollo-hsearch-first,62625
Palaeognathae,50000,Rep21,dollo-cdp-fast,62479
Palaeognathae,50000,Rep21,paup-dollo-bnb-first,62479
Palaeognathae,50000,Rep21,paup-dollo-fast-hsearch-first,62479
Palaeognathae,50000,Rep21,paup-dollo-hsearch-first,62479
Palaeognathae,50000,Rep22,dollo-cdp-fast,62467
Palaeognathae,50000,Rep22,paup-dollo-bnb-first,62467
Palaeognathae,50000,Rep22,paup-dollo-fast-hsearch-first,62467
Palaeognathae,50000,Rep22,paup-dollo-hsearch-first,62467
Palaeognathae,50000,Rep23,dollo-cdp-fast,62592
Palaeognathae,50000,Rep23,paup-dollo-bnb-first,62592
Palaeognathae,50000,Rep23,paup-dollo-fast-hsearch-first,62592
Palaeognathae,50000,Rep23,paup-dollo-hsearch-first,62592
Palaeognathae,50000,Rep24,dollo-cdp-fast,62303
Palaeognathae,50000,Rep24,paup-dollo-bnb-first,62303
Palaeognathae,50000,Rep24,paup-dollo-fast-hsearch-first,62303
Palaeognathae,50000,Rep24,paup-dollo-hsearch-first,62303
Palaeognathae,50000,Rep25,dollo-cdp-fast,62476
Palaeognathae,50000,Rep25,paup-dollo-bnb-first,62476
Palaeognathae,50000,Rep25,paup-dollo-fast-hsearch-first,62476
Palaeognathae,50000,Rep25,paup-dollo-hsearch-first,62476
Palaeognathae,50000,Rep2,dollo-cdp-fast,62624
Palaeognathae,50000,Rep2,paup-dollo-bnb-first,62624
Palaeognathae,50000,Rep2,paup-dollo-fast-hsearch-first,62624
Palaeognathae,50000,Rep2,paup-dollo-hsearch-first,62624
Palaeognathae,50000,Rep3,dollo-cdp-fast,62513
Palaeognathae,50000,Rep3,paup-dollo-bnb-first,62513
